         31874 function calls (31325 primitive calls) in 0.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.048    0.048 dataset.py:270(get_item)
        1    0.001    0.001    0.028    0.028 dataset.py:407(get_ee_data)
    74/38    0.000    0.000    0.023    0.001 indexing.py:1139(__getitem__)
       36    0.000    0.000    0.021    0.001 indexing.py:1327(_getitem_tuple)
       36    0.000    0.000    0.021    0.001 indexing.py:1006(_getitem_lowerdim)
       72    0.000    0.000    0.020    0.000 indexing.py:1359(_getitem_axis)
        1    0.001    0.001    0.017    0.017 dataset.py:286(get_image)
       36    0.000    0.000    0.016    0.000 indexing.py:1296(_getitem_iterable)
       36    0.000    0.000    0.012    0.000 indexing.py:1494(_get_listlike_indexer)
       36    0.000    0.000    0.012    0.000 base.py:6100(_get_indexer_strict)
       12    0.008    0.001    0.008    0.001 {built-in method numpy.zeros}
       72    0.001    0.000    0.007    0.000 base.py:3858(get_indexer)
      158    0.000    0.000    0.005    0.000 base.py:7512(ensure_index)
       36    0.000    0.000    0.005    0.000 base.py:4327(reindex)
       36    0.000    0.000    0.005    0.000 base.py:6076(get_indexer_for)
       76    0.001    0.000    0.005    0.000 base.py:477(__new__)
       12    0.000    0.000    0.005    0.000 transforms.py:93(__call__)
       12    0.000    0.000    0.005    0.000 transforms.py:129(__call__)
       12    0.000    0.000    0.005    0.000 functional.py:125(to_tensor)
       12    0.004    0.000    0.004    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
       36    0.000    0.000    0.003    0.000 indexing.py:1341(_get_label)
       36    0.000    0.000    0.003    0.000 generic.py:4094(xs)
       36    0.000    0.000    0.003    0.000 generic.py:5574(_reindex_with_indexers)
        1    0.000    0.000    0.003    0.003 readers.py:848(read_csv)
        1    0.000    0.000    0.003    0.003 readers.py:574(_read)
       72    0.000    0.000    0.003    0.000 base.py:6618(_maybe_cast_listlike_indexer)
        4    0.003    0.001    0.003    0.001 {method 'float' of 'torch._C._TensorBase' objects}
        4    0.002    0.001    0.002    0.001 {built-in method torch.stack}
      105    0.001    0.000    0.002    0.000 construction.py:518(sanitize_array)
6402/6399    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.002    0.002 readers.py:1732(read)
       37    0.001    0.000    0.002    0.000 managers.py:941(fast_xs)
       72    0.000    0.000    0.002    0.000 base.py:6320(_should_compare)
       36    0.000    0.000    0.002    0.000 managers.py:606(reindex_indexer)
        2    0.000    0.000    0.002    0.001 frame.py:668(__init__)
       36    0.000    0.000    0.002    0.000 managers.py:691(_slice_take_blocks_ax0)
        1    0.000    0.000    0.001    0.001 construction.py:423(dict_to_mgr)
      108    0.001    0.000    0.001    0.000 common.py:228(asarray_tuplesafe)
       72    0.000    0.000    0.001    0.000 base.py:3944(_get_indexer)
       75    0.000    0.000    0.001    0.000 cast.py:1147(maybe_infer_to_datetimelike)
      954    0.001    0.000    0.001    0.000 generic.py:42(_instancecheck)
       12    0.001    0.000    0.001    0.000 {built-in method torch.cat}
       36    0.000    0.000    0.001    0.000 blocks.py:1041(take_nd)
       79    0.000    0.000    0.001    0.000 {pandas._libs.lib.maybe_convert_objects}
       73    0.000    0.000    0.001    0.000 base.py:2723(inferred_type)
     1188    0.001    0.000    0.001    0.000 dataset.py:313(<lambda>)
       73    0.000    0.000    0.001    0.000 {pandas._libs.lib.infer_dtype}
        1    0.000    0.000    0.001    0.001 c_parser_wrapper.py:222(read)
       36    0.000    0.000    0.001    0.000 take.py:59(take_nd)
        1    0.000    0.000    0.001    0.001 construction.py:96(arrays_to_mgr)
        1    0.000    0.000    0.001    0.001 concat.py:157(concat)
      4/3    0.000    0.000    0.001    0.000 series.py:371(__init__)
1792/1284    0.000    0.000    0.001    0.000 {built-in method builtins.len}
       72    0.000    0.000    0.001    0.000 base.py:6342(_is_comparable_dtype)
        1    0.000    0.000    0.001    0.001 concat.py:618(get_result)
       36    0.000    0.000    0.001    0.000 take.py:121(_take_nd_ndarray)
       79    0.000    0.000    0.001    0.000 generic.py:6147(__finalize__)
       36    0.000    0.000    0.001    0.000 base.py:1138(take)
       73    0.000    0.000    0.001    0.000 common.py:1066(is_numeric_dtype)
      111    0.000    0.000    0.001    0.000 base.py:5518(equals)
       72    0.000    0.000    0.001    0.000 base.py:6250(_maybe_promote)
       73    0.000    0.000    0.000    0.000 common.py:96(is_bool_indexer)
       36    0.000    0.000    0.000    0.000 base.py:6133(_raise_if_missing)
      113    0.000    0.000    0.000    0.000 base.py:648(_simple_new)
        1    0.000    0.000    0.000    0.000 concat.py:94(concatenate_managers)
      158    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 construction.py:596(_homogenize)
      954    0.000    0.000    0.000    0.000 generic.py:37(_check)
        1    0.000    0.000    0.000    0.000 {method 'read_low_memory' of 'pandas._libs.parsers.TextReader' objects}
       73    0.000    0.000    0.000    0.000 base.py:5152(_get_engine_target)
       36    0.000    0.000    0.000    0.000 base.py:541(to_numpy)
       77    0.000    0.000    0.000    0.000 generic.py:335(_from_mgr)
       79    0.000    0.000    0.000    0.000 numeric.py:274(full)
      257    0.000    0.000    0.000    0.000 generic.py:562(_get_axis)
       12    0.000    0.000    0.000    0.000 module.py:1514(_wrapped_call_impl)
       37    0.000    0.000    0.000    0.000 frame.py:656(_constructor_sliced_from_mgr)
        1    0.000    0.000    0.000    0.000 readers.py:1403(__init__)
       74    0.000    0.000    0.000    0.000 indexing.py:2678(check_dict_or_set_indexers)
       37    0.000    0.000    0.000    0.000 series.py:581(_constructor_from_mgr)
       12    0.000    0.000    0.000    0.000 module.py:1520(_call_impl)
       72    0.000    0.000    0.000    0.000 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
       78    0.000    0.000    0.000    0.000 _dtype.py:346(_name_get)
        1    0.000    0.000    0.000    0.000 series.py:524(_init_dict)
       12    0.000    0.000    0.000    0.000 transforms.py:353(forward)
       81    0.000    0.000    0.000    0.000 base.py:7607(maybe_extract_name)
       78    0.000    0.000    0.000    0.000 common.py:137(is_object_dtype)
        1    0.000    0.000    0.000    0.000 readers.py:1673(_make_engine)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:355(_concatenate_chunks)
       36    0.000    0.000    0.000    0.000 indexing.py:1213(_is_scalar_access)
      151    0.000    0.000    0.000    0.000 common.py:1425(_is_dtype_type)
       12    0.000    0.000    0.000    0.000 functional.py:391(resize)
       83    0.000    0.000    0.000    0.000 generic.py:274(__init__)
        1    0.000    0.000    0.000    0.000 managers.py:2068(create_block_manager_from_column_arrays)
       36    0.000    0.000    0.000    0.000 take.py:565(_take_preprocess_indexer_and_fill_value)
      962    0.000    0.000    0.000    0.000 blocks.py:1007(iget)
        1    0.000    0.000    0.000    0.000 frame.py:3747(T)
        1    0.000    0.000    0.000    0.000 frame.py:3575(transpose)
        2    0.000    0.000    0.000    0.000 concat.py:457(_concatenate_join_units)
       28    0.000    0.000    0.000    0.000 concat.py:52(concat_compat)
      153    0.000    0.000    0.000    0.000 generic.py:6206(__setattr__)
       36    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
      301    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
       48    0.000    0.000    0.000    0.000 {built-in method torch.from_numpy}
       37    0.000    0.000    0.000    0.000 frame.py:653(_sliced_from_mgr)
       36    0.000    0.000    0.000    0.000 cast.py:550(maybe_promote)
        2    0.000    0.000    0.000    0.000 indexing.py:1681(_getitem_axis)
       72    0.000    0.000    0.000    0.000 indexing.py:1188(_validate_key)
      110    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
       36    0.000    0.000    0.000    0.000 _methods.py:47(_sum)
       72    0.000    0.000    0.000    0.000 common.py:1366(_is_dtype)
       37    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       41    0.000    0.000    0.000    0.000 base.py:69(shape)
      437    0.000    0.000    0.000    0.000 base.py:908(__len__)
      105    0.000    0.000    0.000    0.000 construction.py:673(_sanitize_ndim)
     1324    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       36    0.000    0.000    0.000    0.000 algorithms.py:1211(take)
       36    0.000    0.000    0.000    0.000 indexing.py:948(_is_nested_tuple_indexer)
       36    0.000    0.000    0.000    0.000 series.py:626(dtype)
       73    0.000    0.000    0.000    0.000 base.py:2755(_is_multi)
        2    0.000    0.000    0.000    0.000 managers.py:1744(_consolidate_inplace)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:60(__init__)
       37    0.000    0.000    0.000    0.000 base.py:347(interleaved_dtype)
        1    0.000    0.000    0.000    0.000 generic.py:6337(dtypes)
    31/30    0.000    0.000    0.000    0.000 {built-in method builtins.all}
      152    0.000    0.000    0.000    0.000 common.py:1322(is_ea_or_datetimelike_dtype)
       40    0.000    0.000    0.000    0.000 blocks.py:2388(new_block)
       12    0.000    0.000    0.000    0.000 functional.py:64(get_dimensions)
        1    0.000    0.000    0.000    0.000 common.py:652(get_handle)
       36    0.000    0.000    0.000    0.000 base.py:4440(_wrap_reindex_result)
       72    0.000    0.000    0.000    0.000 base.py:7642(_unpack_nested_dtype)
        1    0.000    0.000    0.000    0.000 series.py:5478(isna)
       36    0.000    0.000    0.000    0.000 blocks.py:226(fill_value)
        5    0.000    0.000    0.000    0.000 missing.py:101(isna)
        1    0.000    0.000    0.000    0.000 generic.py:8402(isna)
      108    0.000    0.000    0.000    0.000 indexing.py:1144(<genexpr>)
        1    0.000    0.000    0.000    0.000 frame.py:3779(_ixs)
        5    0.000    0.000    0.000    0.000 missing.py:184(_isna)
       36    0.000    0.000    0.000    0.000 managers.py:1949(dtype)
      122    0.000    0.000    0.000    0.000 construction.py:484(ensure_wrapped_if_datetimelike)
      109    0.000    0.000    0.000    0.000 utils.py:62(is_list_like_indexer)
        1    0.000    0.000    0.000    0.000 series.py:1967(to_frame)
       39    0.000    0.000    0.000    0.000 cast.py:1400(find_common_type)
      110    0.000    0.000    0.000    0.000 warnings.py:477(__exit__)
        1    0.000    0.000    0.000    0.000 managers.py:2137(_form_blocks)
      216    0.000    0.000    0.000    0.000 base.py:6238(_index_as_unique)
      157    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
      160    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
      370    0.000    0.000    0.000    0.000 generic.py:548(_get_axis_number)
        1    0.000    0.000    0.000    0.000 managers.py:2207(_consolidate)
       36    0.000    0.000    0.000    0.000 indexing.py:909(_expand_ellipsis)
      111    0.000    0.000    0.000    0.000 base.py:790(is_)
       36    0.000    0.000    0.000    0.000 indexing.py:2651(is_label_like)
        1    0.000    0.000    0.000    0.000 series.py:4960(reindex)
       39    0.000    0.000    0.000    0.000 base.py:61(__len__)
       36    0.000    0.000    0.000    0.000 utils.py:558(_log_api_usage_once)
       72    0.000    0.000    0.000    0.000 base.py:3989(_check_indexing_method)
        1    0.000    0.000    0.000    0.000 generic.py:5266(reindex)
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       36    0.000    0.000    0.000    0.000 base.py:4444(_maybe_preserve_names)
      110    0.000    0.000    0.000    0.000 warnings.py:437(__init__)
       36    0.000    0.000    0.000    0.000 generic.py:4520(_is_view)
        1    0.000    0.000    0.000    0.000 concat.py:296(_get_combined_plan)
      261    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_list_like}
       37    0.000    0.000    0.000    0.000 managers.py:1812(from_blocks)
        2    0.000    0.000    0.000    0.000 concat.py:526(_get_empty_dtype)
       87    0.000    0.000    0.000    0.000 base.py:71(<genexpr>)
       36    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_1d_float64_float64}
      113    0.000    0.000    0.000    0.000 {method 'add_index_reference' of 'pandas._libs.internals.BlockValuesRefs' objects}
        4    0.000    0.000    0.000    0.000 cast.py:119(maybe_convert_platform)
       76    0.000    0.000    0.000    0.000 base.py:591(_dtype_to_subclass)
      105    0.000    0.000    0.000    0.000 construction.py:419(extract_array)
       39    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 concat.py:695(new_axes)
       38    0.000    0.000    0.000    0.000 generic.py:4314(_set_is_copy)
       79    0.000    0.000    0.000    0.000 flags.py:89(allows_duplicate_labels)
       36    0.000    0.000    0.000    0.000 managers.py:2268(_preprocess_slice_or_indexer)
       76    0.000    0.000    0.000    0.000 base.py:573(_ensure_array)
        1    0.000    0.000    0.000    0.000 concat.py:698(<listcomp>)
       44    0.000    0.000    0.000    0.000 series.py:750(_values)
      105    0.000    0.000    0.000    0.000 construction.py:712(_sanitize_str_dtypes)
       36    0.000    0.000    0.000    0.000 range.py:409(get_loc)
      483    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 common.py:289(_get_filepath_or_buffer)
       36    0.000    0.000    0.000    0.000 managers.py:445(is_view)
       39    0.000    0.000    0.000    0.000 generic.py:568(_get_block_manager_axis)
       47    0.000    0.000    0.000    0.000 blocks.py:2346(get_block_type)
        2    0.000    0.000    0.000    0.000 concat.py:126(<listcomp>)
        5    0.000    0.000    0.000    0.000 config.py:271(__call__)
       83    0.000    0.000    0.000    0.000 flags.py:53(__init__)
       37    0.000    0.000    0.000    0.000 blocks.py:265(make_block_same_class)
      157    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        4    0.000    0.000    0.000    0.000 generic.py:487(_validate_dtype)
